X,Y,Theta
[-0.25915815],[-0.5565293],[ 0.],[ 0.]
[-0.26010714],[-0.55630518],[ 0.],[ 0.]
[-0.26102249],[-0.556089],[ 0.],[ 0.]
[-0.26190938],[-0.55587954],[ 0.],[ 0.]
[-0.26277299],[-0.55567558],[ 0.],[ 0.]
[-0.26361849],[-0.5554759],[ -2.46519033e-32],[ 0.]
[-0.26445105],[-0.55527928],[ 0.],[ 0.]
[-0.26527585],[-0.55508449],[ 0.],[ 0.]
[-0.26609806],[-0.5548903],[ 0.],[ 0.]
[-0.26692286],[-0.55469551],[ 0.],[ 0.]
[-0.26775542],[-0.55449889],[  2.46519033e-32],[ 0.]
[-0.26860092],[-0.55429921],[ 0.],[ 0.]
[-0.26946453],[-0.55409525],[ 0.],[ 0.]
[-0.27035142],[-0.55388579],[ 0.],[ 0.]
[-0.27126677],[-0.55366961],[ 0.],[ 0.]
[-0.27221576],[-0.55344549],[ 0.],[ 0.]
[-0.27320356],[-0.5532122],[ 0.],[ 0.]
[-0.27423534],[-0.55296853],[ 0.],[ 0.]
[-0.27531628],[-0.55271324],[ 0.],[ 0.]
[-0.27645155],[-0.55244512],[ 0.],[ 0.]
[-0.27764633],[-0.55216295],[  1.23259516e-32],[ 0.]
[-0.27890579],[-0.55186551],[ -1.23259516e-32],[ 0.]
[-0.28023511],[-0.55155156],[ 0.],[ 0.]
[-0.28163946],[-0.5512199],[ 0.],[ 0.]
[-0.28312402],[-0.55086929],[ 0.],[ 0.]
[-0.28442646],[-0.55047032],[ 0.],[ 0.]
[-0.28565697],[-0.55009338],[  1.23259516e-32],[ 0.]
[-0.28682087],[-0.54973685],[  1.23259516e-32],[ 0.]
[-0.2879235],[-0.54939909],[ -1.23259516e-32],[ 0.]
[-0.28897018],[-0.54907846],[ 0.],[ 0.]
[-0.28996624],[-0.54877334],[ -1.23259516e-32],[ 0.]
[-0.29091701],[-0.5484821],[ 0.],[ 0.]
[-0.29182782],[-0.5482031],[ 0.],[ 0.]
[-0.292704],[-0.5479347],[ -1.23259516e-32],[ 0.]
[-0.29355086],[-0.54767529],[ -1.23259516e-32],[ 0.]
[-0.29437375],[-0.54742321],[ 0.],[ 0.]
[-0.29517799],[-0.54717685],[ 0.],[ 0.]
[-0.29596891],[-0.54693458],[  1.23259516e-32],[ 0.]
[-0.29675184],[-0.54669475],[ 0.],[ 0.]
[-0.2975321],[-0.54645573],[  1.23259516e-32],[ 0.]
[-0.29831503],[-0.5462159],[ -1.23259516e-32],[ 0.]
[-0.29910595],[-0.54597362],[  1.23259516e-32],[ 0.]
[-0.29991019],[-0.54572726],[ 0.],[ 0.]
[-0.30073308],[-0.54547519],[ 0.],[ 0.]
[-0.30157995],[-0.54521577],[ 0.],[ 0.]
[-0.30245612],[-0.54494738],[ 0.],[ 0.]
[-0.30336693],[-0.54466838],[  1.23259516e-32],[ 0.]
[-0.3043177],[-0.54437713],[ 0.],[ 0.]
[-0.30531376],[-0.54407201],[ 0.],[ 0.]
[-0.30636044],[-0.54375139],[  1.23259516e-32],[ 0.]
[-0.30746306],[-0.54341363],[  1.23259516e-32],[ 0.]
[-0.30862697],[-0.54305709],[ 0.],[ 0.]
[-0.30985747],[-0.54268016],[  1.23259516e-32],[ 0.]
[-0.31115992],[-0.54228119],[ 0.],[ 0.]
[-0.31253962],[-0.54185855],[ 0.],[ 0.]
[-0.31400191],[-0.54141061],[ 0.],[ 0.]
[-0.31523616],[-0.54092782],[  1.23259516e-32],[ 0.]
[-0.31636839],[-0.54048494],[ -1.23259516e-32],[ 0.]
[-0.31740615],[-0.540079],[ 0.],[ 0.]
[-0.318357],[-0.53970706],[ 0.],[ 0.]
[-0.31922851],[-0.53936616],[  1.23259516e-32],[ 0.]
[-0.32002821],[-0.53905335],[ -1.23259516e-32],[ 0.]
[-0.32076368],[-0.53876566],[  1.23259516e-32],[ 0.]
[-0.32144247],[-0.53850014],[  1.23259516e-32],[ 0.]
[-0.32207214],[-0.53825384],[ 0.],[ 0.]
[-0.32266024],[-0.5380238],[ 0.],[ 0.]
[-0.32321434],[-0.53780706],[ 0.],[ 0.]
[-0.32374198],[-0.53760066],[ -1.23259516e-32],[ 0.]
[-0.32425074],[-0.53740166],[ 0.],[ 0.]
[-0.32474815],[-0.53720709],[  1.23259516e-32],[ 0.]
[-0.32524179],[-0.53701399],[  1.23259516e-32],[ 0.]
[-0.3257392],[-0.53681942],[  1.23259516e-32],[ 0.]
[-0.32624795],[-0.53662042],[ 0.],[ 0.]
[-0.3267756],[-0.53641403],[ 0.],[ 0.]
[-0.32732969],[-0.53619728],[ 0.],[ 0.]
[-0.32791779],[-0.53596724],[ 0.],[ 0.]
[-0.32854746],[-0.53572094],[ 0.],[ 0.]
[-0.32922625],[-0.53545542],[ 0.],[ 0.]
[-0.32996172],[-0.53516773],[ 0.],[ 0.]
[-0.33076142],[-0.53485492],[ -1.23259516e-32],[ 0.]
[-0.33163292],[-0.53451402],[  1.23259516e-32],[ 0.]
[-0.33258378],[-0.53414208],[ -1.23259516e-32],[ 0.]
[-0.33362154],[-0.53373615],[ -1.23259516e-32],[ 0.]
[-0.33475376],[-0.53329326],[  1.23259516e-32],[ 0.]
[-0.33598801],[-0.53281047],[  1.23259516e-32],[ 0.]
[-0.33733184],[-0.53228482],[  1.23259516e-32],[ 0.]
[-0.33879281],[-0.53171334],[ -1.23259516e-32],[ 0.]
