X,Y,Theta
[ 0.40566932],[-0.25740439],[ 0.],[ 0.]
[ 0.40504607],[-0.25861736],[ 0.],[ 0.]
[ 0.40440535],[-0.25986433],[ 0.],[ 0.]
[ 0.40374588],[-0.2611478],[ 0.],[ 0.]
[ 0.40303539],[-0.26232189],[ 0.],[ 0.]
[ 0.40235897],[-0.2634397],[ 0.],[ 0.]
[ 0.40171408],[-0.26450539],[ 0.],[ 0.]
[ 0.40109821],[-0.26552314],[ 0.],[ 0.]
[ 0.40050882],[-0.26649711],[ 0.],[ 0.]
[ 0.3999434],[-0.26743148],[ 0.],[ 0.]
[ 0.39939943],[-0.26833041],[ 0.],[ 0.]
[ 0.39887438],[-0.26919807],[ 0.],[ 0.]
[ 0.39836573],[-0.27003863],[ 0.],[ 0.]
[ 0.39787095],[-0.27085626],[ 0.],[ 0.]
[ 0.39738752],[-0.27165513],[ 0.],[ 0.]
[ 0.39691293],[-0.27243941],[ 0.],[ 0.]
[ 0.39644464],[-0.27321327],[ 0.],[ 0.]
[ 0.39598014],[-0.27398087],[ 0.],[ 0.]
[ 0.3955169],[-0.27474639],[ 0.],[ 0.]
[ 0.3950524],[-0.27551399],[ 0.],[ 0.]
[ 0.39458411],[-0.27628785],[ 0.],[ 0.]
[ 0.39410952],[-0.27707212],[ 0.],[ 0.]
[ 0.39362609],[-0.27787099],[ 0.],[ 0.]
[ 0.39313131],[-0.27868863],[ 0.],[ 0.]
[ 0.39262266],[-0.27952919],[ 0.],[ 0.]
[ 0.39209761],[-0.28039685],[ 0.],[ 0.]
[ 0.39155364],[-0.28129578],[ 0.],[ 0.]
[ 0.39098822],[-0.28223015],[ 0.],[ 0.]
[ 0.39039883],[-0.28320412],[ 0.],[ 0.]
[ 0.38978296],[-0.28422187],[ 0.],[ 0.]
[ 0.38913807],[-0.28528756],[ 0.],[ 0.]
[ 0.38846164],[-0.28640537],[ 0.],[ 0.]
[ 0.38775116],[-0.28757946],[ 0.],[ 0.]
[ 0.3870041],[-0.28881401],[ 0.],[ 0.]
[ 0.3862197],[-0.28997129],[ 0.],[ 0.]
[ 0.38545878],[-0.29109395],[ 0.],[ 0.]
[ 0.38471958],[-0.29218455],[ 0.],[ 0.]
[ 0.38400037],[-0.29324566],[ 0.],[ 0.]
[ 0.38329941],[-0.29427984],[ 0.],[ 0.]
[ 0.38261497],[-0.29528965],[ 0.],[ 0.]
[ 0.3819453],[-0.29627767],[ 0.],[ 0.]
[ 0.38128867],[-0.29724645],[ 0.],[ 0.]
[ 0.38064333],[-0.29819857],[ 0.],[ 0.]
[ 0.38000756],[-0.29913658],[ 0.],[ 0.]
[ 0.37937961],[-0.30006304],[ 0.],[ 0.]
[ 0.37875774],[-0.30098054],[ 0.],[ 0.]
[ 0.37814022],[-0.30189162],[ 0.],[ 0.]
[ 0.37752531],[-0.30279885],[ 0.],[ 0.]
[ 0.37691126],[-0.3037048],[ 0.],[ 0.]
[ 0.37629635],[-0.30461203],[ 0.],[ 0.]
[ 0.37567883],[-0.30552311],[ 0.],[ 0.]
[ 0.37505696],[-0.3064406],[ 0.],[ 0.]
[ 0.37442901],[-0.30736707],[ 0.],[ 0.]
[ 0.37379324],[-0.30830508],[ 0.],[ 0.]
[ 0.37314791],[-0.30925719],[ 0.],[ 0.]
[ 0.37249127],[-0.31022598],[ 0.],[ 0.]
[ 0.37182161],[-0.31121399],[ 0.],[ 0.]
[ 0.37113716],[-0.31222381],[ 0.],[ 0.]
[ 0.3704362],[-0.31325799],[ 0.],[ 0.]
[ 0.36971699],[-0.3143191],[ 0.],[ 0.]
[ 0.3689778],[-0.3154097],[ 0.],[ 0.]
[ 0.36821687],[-0.31653236],[ 0.],[ 0.]
[ 0.36743247],[-0.31768964],[ 0.],[ 0.]
[ 0.36662288],[-0.31888411],[ 0.],[ 0.]
[ 0.36576837],[-0.31996102],[ 0.],[ 0.]
[ 0.36495337],[-0.32098816],[ 0.],[ 0.]
[ 0.36417492],[-0.32196922],[ 0.],[ 0.]
[ 0.36343013],[-0.32290787],[ 0.],[ 0.]
[ 0.36271604],[-0.32380782],[ 0.],[ 0.]
[ 0.36202975],[-0.32467274],[ 0.],[ 0.]
[ 0.36136833],[-0.32550632],[ 0.],[ 0.]
[ 0.36072884],[-0.32631225],[ 0.],[ 0.]
[ 0.36010837],[-0.32709422],[ 0.],[ 0.]
[ 0.35950399],[-0.32785591],[ 0.],[ 0.]
[ 0.35891278],[-0.328601],[ 0.],[ 0.]
[ 0.3583318],[-0.3293332],[ 0.],[ 0.]
[ 0.35775814],[-0.33005617],[ 0.],[ 0.]
[ 0.35718886],[-0.33077362],[ 0.],[ 0.]
[ 0.35662105],[-0.33148923],[ 0.],[ 0.]
[ 0.35605177],[-0.33220667],[ 0.],[ 0.]
[ 0.35547811],[-0.33292965],[ 0.],[ 0.]
[ 0.35489713],[-0.33366184],[ 0.],[ 0.]
[ 0.35430592],[-0.33440694],[ 0.],[ 0.]
[ 0.35370154],[-0.33516863],[ 0.],[ 0.]
[ 0.35308107],[-0.3359506],[ 0.],[ 0.]
[ 0.35244158],[-0.33675653],[ 0.],[ 0.]
[ 0.35178016],[-0.33759011],[ 0.],[ 0.]
[ 0.35109387],[-0.33845503],[ 0.],[ 0.]
[ 0.35037978],[-0.33935497],[ 0.],[ 0.]
[ 0.34963499],[-0.34029363],[ 0.],[ 0.]
[ 0.34885654],[-0.34127468],[ 0.],[ 0.]
[ 0.34804154],[-0.34230182],[ 0.],[ 0.]
[ 0.34718703],[-0.34337874],[ 0.],[ 0.]
[ 0.34629011],[-0.34450911],[ 0.],[ 0.]
[ 0.34536428],[-0.34556257],[ 0.],[ 0.]
[ 0.34446335],[-0.34658771],[ 0.],[ 0.]
[ 0.34358547],[-0.34758662],[ 0.],[ 0.]
[ 0.34272879],[-0.3485614],[ 0.],[ 0.]
[ 0.34189148],[-0.34951414],[ 0.],[ 0.]
[ 0.34107168],[-0.35044696],[ 0.],[ 0.]
[ 0.34026756],[-0.35136193],[ 0.],[ 0.]
[ 0.33947727],[-0.35226117],[ 0.],[ 0.]
[ 0.33869897],[-0.35314677],[ 0.],[ 0.]
[ 0.33793081],[-0.35402083],[ 0.],[ 0.]
[ 0.33717095],[-0.35488545],[ 0.],[ 0.]
[ 0.33641754],[-0.35574272],[ 0.],[ 0.]
[ 0.33566874],[-0.35659475],[ 0.],[ 0.]
[ 0.33492271],[-0.35744363],[ 0.],[ 0.]
[ 0.3341776],[-0.35829146],[ 0.],[ 0.]
[ 0.33343156],[-0.35914034],[ 0.],[ 0.]
[ 0.33268277],[-0.35999237],[ 0.],[ 0.]
[ 0.33192936],[-0.36084965],[ 0.],[ 0.]
[ 0.3311695],[-0.36171426],[ 0.],[ 0.]
[ 0.33040134],[-0.36258832],[ 0.],[ 0.]
[ 0.32962303],[-0.36347392],[ 0.],[ 0.]
[ 0.32883274],[-0.36437316],[ 0.],[ 0.]
[ 0.32802862],[-0.36528814],[ 0.],[ 0.]
[ 0.32720883],[-0.36622095],[ 0.],[ 0.]
[ 0.32637151],[-0.3671737],[ 0.],[ 0.]
[ 0.32551484],[-0.36814847],[ 0.],[ 0.]
[ 0.32463696],[-0.36914738],[ 0.],[ 0.]
[ 0.32373602],[-0.37017252],[ 0.],[ 0.]
[ 0.32281019],[-0.37122598],[ 0.],[ 0.]
[ 0.32185763],[-0.37230987],[ 0.],[ 0.]
[ 0.32087647],[-0.37342629],[ 0.],[ 0.]
[ 0.31988996],[-0.37442126],[ 0.],[ 0.]
[ 0.31893087],[-0.37538857],[ 0.],[ 0.]
[ 0.31799718],[-0.37633026],[ 0.],[ 0.]
[ 0.31708686],[-0.37724838],[ 0.],[ 0.]
[ 0.31619787],[-0.37814499],[ 0.],[ 0.]
[ 0.31532818],[-0.37902213],[ 0.],[ 0.]
[ 0.31447577],[-0.37988185],[ 0.],[ 0.]
[ 0.3136386],[-0.3807262],[ 0.],[ 0.]
[ 0.31281463],[-0.38155723],[ 0.],[ 0.]
[ 0.31200184],[-0.38237698],[ 0.],[ 0.]
[ 0.31119819],[-0.38318752],[ 0.],[ 0.]
[ 0.31040165],[-0.38399088],[ 0.],[ 0.]
[ 0.30961019],[-0.38478913],[ 0.],[ 0.]
[ 0.30882178],[-0.38558429],[ 0.],[ 0.]
[ 0.30803439],[-0.38637843],[ 0.],[ 0.]
[ 0.30724598],[-0.3871736],[ 0.],[ 0.]
[ 0.30645452],[-0.38797184],[ 0.],[ 0.]
[ 0.30565799],[-0.3887752],[ 0.],[ 0.]
[ 0.30485434],[-0.38958574],[ 0.],[ 0.]
[ 0.30404155],[-0.3904055],[ 0.],[ 0.]
[ 0.30321758],[-0.39123653],[ 0.],[ 0.]
[ 0.3023804],[-0.39208088],[ 0.],[ 0.]
[ 0.30152799],[-0.3929406],[ 0.],[ 0.]
[ 0.3006583],[-0.39381774],[ 0.],[ 0.]
[ 0.29976932],[-0.39471435],[ 0.],[ 0.]
[ 0.29885899],[-0.39563247],[ 0.],[ 0.]
[ 0.2979253],[-0.39657416],[ 0.],[ 0.]
[ 0.29696621],[-0.39754147],[ 0.],[ 0.]
[ 0.2959797],[-0.39853645],[ 0.],[ 0.]
[ 0.29496371],[-0.39956114],[ 0.],[ 0.]
[ 0.29391239],[-0.40049323],[ 0.],[ 0.]
